# X_Mean Y_Mean GPS_X GPS_Y
-1.390108409e+15 -1.90465089e+14 48.99757688 8.477293531
-1.390108409e+15 -1.90465089e+14 48.99757688 8.477293531
-1.39010841e+15 -1.90465089e+14 48.99757688 8.477293531
-1.39010841e+15 -1.90465089e+14 48.99757688 8.477293531
-1.39010841e+15 -1.904650891e+14 48.99757688 8.477293531
-1.39010841e+15 -1.904650891e+14 48.99757688 8.477293531
-1.39010841e+15 -1.904650891e+14 48.99757688 8.477293531
-1.39010841e+15 -1.904650891e+14 48.99757688 8.477293531
-1.39010841e+15 -1.904650891e+14 48.99757688 8.477293531
-1.390108411e+15 -1.904650892e+14 48.99757688 8.477293531
-1.390108411e+15 -1.904650892e+14 48.99757778 8.4772949
-1.390108411e+15 -1.904650892e+14 48.99757778 8.4772949
-1.390108411e+15 -1.904650892e+14 48.99757778 8.4772949
-1.390108411e+15 -1.904650892e+14 48.99757778 8.4772949
-1.390108411e+15 -1.904650892e+14 48.99757778 8.4772949
-1.390108411e+15 -1.904650893e+14 48.99757778 8.4772949
-1.390108412e+15 -1.904650893e+14 48.99757778 8.4772949
-1.390108412e+15 -1.904650893e+14 48.99757778 8.4772949
-1.390108412e+15 -1.904650893e+14 48.99757778 8.4772949
-1.390108412e+15 -1.904650893e+14 48.99757778 8.4772949
-1.390108418e+15 -1.904650902e+14 48.99757867 8.477296269
-1.390108419e+15 -1.904650903e+14 48.99757867 8.477296269
-1.390108419e+15 -1.904650903e+14 48.99757867 8.477296269
-1.390108419e+15 -1.904650903e+14 48.99757867 8.477296269
-1.390108419e+15 -1.904650903e+14 48.99757867 8.477296269
-1.390108419e+15 -1.904650903e+14 48.99757867 8.477296269
-1.390108419e+15 -1.904650904e+14 48.99757867 8.477296269
-1.390108419e+15 -1.904650904e+14 48.99757867 8.477296269
-1.39010842e+15 -1.904650904e+14 48.99757867 8.477296269
-1.39010842e+15 -1.904650904e+14 48.99757867 8.477296269
-1.39010842e+15 -1.904650904e+14 48.99757957 8.477297638
-1.39010842e+15 -1.904650904e+14 48.99757957 8.477297638
-1.39010842e+15 -1.904650904e+14 48.99757957 8.477297638
-1.39010842e+15 -1.904650905e+14 48.99757957 8.477297638
-1.39010842e+15 -1.904650905e+14 48.99757957 8.477297638
-1.39010842e+15 -1.904650905e+14 48.99757957 8.477297638
-1.390108421e+15 -1.904650905e+14 48.99757957 8.477297638
-1.390108421e+15 -1.904650905e+14 48.99757957 8.477297638
-1.390108421e+15 -1.904650906e+14 48.99757957 8.477297638
-1.390108421e+15 -1.904650906e+14 48.99757957 8.477297638
-1.390108421e+15 -1.904650906e+14 48.99758047 8.477299008
-1.390108421e+15 -1.904650906e+14 48.99758047 8.477299008
-1.390108421e+15 -1.904650906e+14 48.99758047 8.477299008
-1.390108421e+15 -1.904650906e+14 48.99758047 8.477299008
-1.390108422e+15 -1.904650907e+14 48.99758047 8.477299008
-1.390108422e+15 -1.904650907e+14 48.99758047 8.477299008
-1.390108422e+15 -1.904650907e+14 48.99758047 8.477299008
-1.390108422e+15 -1.904650907e+14 48.99758047 8.477299008
-1.390108422e+15 -1.904650907e+14 48.99758047 8.477299008
-1.390108422e+15 -1.904650908e+14 48.99758047 8.477299008
-1.390108422e+15 -1.904650908e+14 48.99758137 8.477300377
-1.390108422e+15 -1.904650908e+14 48.99758137 8.477300377
-1.390108423e+15 -1.904650908e+14 48.99758137 8.477300377
-1.390108423e+15 -1.904650908e+14 48.99758137 8.477300377
-1.390108423e+15 -1.904650908e+14 48.99758137 8.477300377
-1.390108423e+15 -1.904650909e+14 48.99758137 8.477300377
-1.390108423e+15 -1.904650909e+14 48.99758137 8.477300377
-1.390108423e+15 -1.904650909e+14 48.99758137 8.477300377
-1.390108424e+15 -1.904650909e+14 48.99758137 8.477300377
-1.390108424e+15 -1.904650909e+14 48.99758137 8.477300377
-1.390108424e+15 -1.904650909e+14 48.99758227 8.477301746
-1.390108424e+15 -1.90465091e+14 48.99758227 8.477301746
-1.390108424e+15 -1.90465091e+14 48.99758227 8.477301746
-1.390108424e+15 -1.90465091e+14 48.99758227 8.477301746
-1.390108424e+15 -1.90465091e+14 48.99758227 8.477301746
-1.390108424e+15 -1.90465091e+14 48.99758227 8.477301746
-1.390108425e+15 -1.904650911e+14 48.99758227 8.477301746
-1.390108425e+15 -1.904650911e+14 48.99758227 8.477301746
-1.390108425e+15 -1.904650911e+14 48.99758227 8.477301746
